,year,lgID,teamID,avg_ba
158,2009,AL,BOS,0.20913612501767848
159,2007,AL,NYA,0.20907655654479698
160,2007,AL,OAK,0.20906307087312848
161,2015,AL,MIN,0.20892807281229633
162,2006,AL,FLO,0.20885252346124353
163,2012,AL,WAS,0.20845710446002305
164,2006,AL,LAA,0.20810474114401248
165,2007,AL,HOU,0.20787731847025956
166,2016,AL,MIA,0.20771778906249444
167,2008,AL,TOR,0.20712918004457925
168,2012,AL,NYA,0.20709091856092263
169,2015,AL,TEX,0.20699493830138874
170,2016,AL,CLE,0.20695087812363175
171,2009,AL,MIN,0.2068945528849129
172,2010,AL,NYA,0.2068403741451938
173,2011,AL,BOS,0.20678021228798207
174,2012,AL,LAA,0.20665448120413815
175,2009,AL,SFN,0.2065014904380698
176,2018,AL,OAK,0.20633891800858992
177,2011,AL,ARI,0.2061977688103373
178,2011,AL,CHA,0.2061438188024966
179,2019,AL,NYN,0.2059750859813667
180,2018,AL,TBA,0.20568811661443534
181,2006,AL,MIN,0.20563835472983635
182,2018,AL,MIN,0.20561093218813722
183,2001,AL,ARI,0.20559350793469205
184,2002,AL,NYA,0.20542328398280288
185,2002,AL,CHA,0.20539005365909585
186,2015,AL,ARI,0.2052937652065112
187,2012,AL,ARI,0.20526186943686645
188,2011,AL,MIL,0.20513887490932498
189,2018,AL,COL,0.20502171932762125
190,2019,AL,SLN,0.20500670832604295
191,2003,AL,CHN,0.20497839279616
192,2007,AL,COL,0.20495087262846903
193,2012,AL,LAN,0.2047682570490942
194,2010,AL,CLE,0.2044202012173764
195,2006,AL,COL,0.2042648831607919
196,2013,AL,TBA,0.20408168992863934
197,2009,AL,NYA,0.20402736089359236
198,2017,AL,NYN,0.2039081814714838
199,2010,AL,OAK,0.20390599358287673
200,2017,AL,COL,0.20383367912531372
201,2004,AL,NYA,0.2037156491259485
202,2003,AL,BAL,0.2036628071310958
203,2005,AL,WAS,0.20365896533998257
204,2015,AL,NYN,0.20355949974939425
205,2002,AL,BOS,0.20344308635293865
206,2001,AL,SFN,0.20340918223914983
207,2017,AL,OAK,0.20340467214714114
208,2003,AL,CLE,0.20329491816762946
209,2019,AL,MIN,0.20325473363717259
210,2018,AL,LAA,0.20320764117263576
211,2011,AL,ATL,0.2030703769174295
212,2004,AL,MIN,0.20293698150908226
213,2012,AL,HOU,0.20292251398843372
214,2004,AL,DET,0.20287934408470665
215,2005,AL,COL,0.20277472890098566
216,2018,AL,CLE,0.20276523852688372
217,2015,AL,TBA,0.20265585614978698
218,2008,AL,CHA,0.20263540905581767
219,2001,AL,CHA,0.20263537230226167
220,2016,AL,LAA,0.20239880937267687
221,2007,AL,SLN,0.2022416745565362
222,2003,AL,TEX,0.2021555154006429
223,2011,AL,NYN,0.20211170877647533
224,2005,AL,SLN,0.20209550634363643
225,2012,AL,CHA,0.20207676314718684
226,2014,AL,KCA,0.2019864739680222
227,2016,AL,SEA,0.20195390363155052
228,2011,AL,TBA,0.20178356703410472
229,2011,AL,SDN,0.20177096499096042
230,2016,AL,TBA,0.20175197852975468
231,2010,AL,TBA,0.20160051987910063
232,2018,AL,BOS,0.2015188501725545
233,2003,AL,BOS,0.2014577031916628
234,2005,AL,PIT,0.20143836332184212
235,2018,AL,KCA,0.20130042527319214
236,2014,AL,NYN,0.2012216983990883
237,2001,AL,FLO,0.2011995013166942
238,2005,AL,OAK,0.20116065213377624
239,2014,AL,CHN,0.20096925341885644
240,2009,AL,CHA,0.20090398030411105
241,2001,AL,BAL,0.20088304797198803
242,2016,AL,BAL,0.20080579817770378
243,2009,AL,CHN,0.20072437504333812
244,2008,AL,PIT,0.20062650720353525
245,2007,AL,DET,0.2005174429292339
